,sl no.,reviews
103,103,"Fantastic place to stay. Clean,CalmSerene and Soothing"
104,104,good stay
105,105,Good  Holiday at Heritage building
106,106,Average Hotel with Small rooms.
107,107,Vintage type of Hotel
108,108,Good place and people!
109,109,Heritage hotel
110,110,Great Place to stay
111,111,Heritage Stay..
112,112,Pleasant stay at Fort Mahadodhi
113,113,Amazing place to stay in Puri
114,114,Worst hotel seen in my life ...
115,115,Value for money? ?....No Way....!!!
116,116,Magnificent property lacks care
117,117,Tried the puja buffet
118,118,Good decent hotel for family stay- on beach in puri
119,119,Excellent staffs with excellent service
120,120,A Bit overpriced so called fort.
121,121,LATE  MEDIEVAL  PERIOD CLASSICAL ERA
122,122,Awesome Place to Stay
123,123,Memorable
124,124,Jagannath Dev rath yatra visit
125,125,room no good and internet was only in the lobby
126,126,Excellent Hospitality cant forget the memories which collected during my stay with Fort Mahodadhi.........
127,127,Nice Place to Stay.
128,128,A memorable visit to Puri
129,129,Beautiful location but average property
130,130,Nice location and friendly staff but the building needs maintenance
131,131,Beach front Heritage Hotel
132,132,It is a best Hotel for Holiday
133,133,Fort Mahodadhi makes our trip disaster..
134,134,Good located hotel
135,135,Good but there is opportunity for lot of improvement
136,136,Memorable Stay at Fort Mahodadahi - Great Location & Impressive Hospitality
137,137,Very poor maintainenace and exhorbitant rates compared to the poor ambience provided.
138,138,Great location friendly staff
139,139,Location is excellent but hotel needs upgradation
140,140,Great Location
141,141,Brilliant hospitality with scopes of improvement.
142,142,Nice Location But Small Rooms
143,143,"Great location, good staff, poor rooms"
144,144,wonderful stay due to Nice location & courteous staff
145,145,Wonderful Experience
146,146,"Memorable Heritage Hotel, well maintained and courteous staff"
147,147,Nice Hotel
148,148,Needs maintenance!
149,149,"Good location but poor management at Hotel Mahadadhi, Puri"
150,150,Good beach side hotel
151,151,Stay at Fort Mahodadhi
152,152,An enjoyable stay at Fort Mahodadhi
153,153,very good resort in the heart of puri
154,154,"Never ever even think of coming within 100 metres of this so called ""PALACE/FORT"""
155,155,"Excellent location, excellent property but need improvement"
156,156,GOOD HOTEL WITH SCOPE FOR BEING EXCELLENT
157,157,Nice Place to stay
158,158,Just average
159,159,Long way to go......
160,160,Most memorable stay
161,161,A very different experience in Puri
162,162,Great stay with family...with excellent comfort and service.
163,163,excellent Hospitality and Good Location
164,164,"Stay at Fort Mahodadhi, Puri during March 2014"
165,165,Wonderful experience ...
166,166,"Excellent experience... Second time visit, received with same warmth and hospitality"
167,167,Feel like 'Maharaja' @Fort Mahodadhi
168,168,Memorable Stay...
169,169,Heritage Hotel on Sea Front
170,170,"Pleasant Stay at Fort Mahodadhi, Puri"
171,171,good hotel to stay in puri
172,172,Highly priced compared to its standard...
173,173,It is an Old hotel and definitely not heritage hotel
174,174,"Total waste of money, mental agony"
175,175,Great ambiance with excellent kababs
176,176,ROYAL RESIDENCE
177,177,Good place to stay
178,178,An excellent comfort hotel to be in Puri.
179,179,nice hotel
180,180,Good hotel for family
181,181,Run down place in an unpleasant city
182,182,Lazy beach relaxation.......not really
183,183,My silver Jubilee Marriage Anniversary
184,184,Heritage opposite Sea Beach
185,185,This is not a hotel by any defination
186,186,A good property awaiting proper restoration.
187,187,Much Ado About Heritage!
188,188,Old Palace Charm with a few Shortcomings
189,189,Very good experience with quality service
190,190,"fantastic stay, BEACH views from room"
191,191,Your Home away Home at Puri
192,192,Very good hotel with very good services and good location
193,193,Excellent location .
194,194,Great Experience but....
195,195,"What's everyone raving about, huh?"
196,196,Amazing heritage property
197,197,Nice hotel and service
198,198,Stay in a classical mix of retro royal and contemporary times.........
199,199,Spent 4 great days in this excellent hotel
200,200,An unexpected surprise
201,201,"Fort Mahodadhi, Puri a hotel not to cosider"
202,202,Horrible.holiday at mahodadhi.(doddi) -crap
203,203,Awesome
204,204,HERITAGE PROPERTY - MAHODADHI
